benchmark,method,budget,seed,best_capability,hypervolume,hypervolume_regret,eps_pareto_hit,evals_to_threshold,auc_best_capability
pubmedqa,enss,48,5,0.59,0.4229181744810521,0.0,1,12,0.5785416666666666
pubmedqa,enss,48,6,0.59,0.4229181744810521,0.0,1,11,0.5795833333333332
pubmedqa,enss,48,7,0.59,0.4229181744810521,0.0,1,34,0.5585416666666664
pubmedqa,enss,48,8,0.59,0.4229181744810521,0.0,1,22,0.5664583333333331
pubmedqa,enss,48,9,0.59,0.4229181744810521,0.0,1,36,0.5564583333333329
pubmedqa,enss,48,10,0.59,0.4229181744810521,0.0,1,25,0.5710416666666663
pubmedqa,enss,48,11,0.59,0.4229181744810521,0.0,1,7,0.5791666666666666
pubmedqa,enss,48,12,0.59,0.4229181744810521,0.0,1,9,0.58
pubmedqa,enss,48,13,0.59,0.4229181744810521,0.0,1,20,0.5727083333333333
pubmedqa,enss,48,14,0.59,0.4229181744810521,0.0,1,2,0.5879166666666665
pubmedqa,enss,48,15,0.59,0.4229181744810521,0.0,1,4,0.585625
pubmedqa,enss,48,16,0.59,0.4229181744810521,0.0,1,19,0.5691666666666664
pubmedqa,enss,48,17,0.59,0.4229181744810521,0.0,1,8,0.5810416666666666
pubmedqa,enss,48,18,0.59,0.4229181744810521,0.0,1,11,0.5795833333333332
pubmedqa,enss,48,19,0.59,0.4229181744810521,0.0,1,7,0.5829166666666666
pubmedqa,random,12,0,0.58,0.4173604547556109,0.005557719725441224,1,6,0.5333333333333333
pubmedqa,random,12,1,0.54,0.3924751116950831,0.030443062785969033,0,,0.54
pubmedqa,random,12,2,0.58,0.41267131086305725,0.010246863617994872,1,4,0.5683333333333334
pubmedqa,random,12,3,0.59,0.4184026580791454,0.004515516401906727,1,11,0.52
pubmedqa,random,12,4,0.56,0.40720625361520024,0.01571192086585188,0,,0.5566666666666668
pubmedqa,random,12,5,0.55,0.397275652296558,0.025642522184494143,0,,0.5433333333333333
pubmedqa,random,12,6,0.56,0.4072123192841084,0.01570585519694373,0,,0.5600000000000002
pubmedqa,random,12,7,0.59,0.418458152316083,0.004460022164969102,1,10,0.5341666666666667
pubmedqa,random,12,8,0.54,0.39223212459812795,0.03068604988292417,0,,0.54
pubmedqa,random,12,9,0.54,0.3924751116950831,0.030443062785969033,0,,0.5341666666666667
pubmedqa,random,12,10,0.56,0.40716271689439293,0.015755457586659194,0,,0.5600000000000002
pubmedqa,random,12,11,0.56,0.40716271689439293,0.015755457586659194,0,,0.5483333333333335
pubmedqa,random,12,12,0.56,0.40716271689439293,0.015755457586659194,0,,0.5433333333333334
pubmedqa,random,12,13,0.58,0.41255848914267024,0.010359685338381885,1,6,0.5633333333333334
pubmedqa,random,12,14,0.59,0.41863639302994965,0.004281781451102473,1,2,0.5816666666666666
pubmedqa,random,12,15,0.58,0.41725531649453623,0.00566285798651589,1,4,0.5700000000000001
pubmedqa,random,12,16,0.54,0.3921588064200419,0.030759368061010206,0,,0.5366666666666667
pubmedqa,random,12,17,0.55,0.39757260657803384,0.025345567903018285,0,,0.535
pubmedqa,random,12,18,0.54,0.3921630134202342,0.030755161060817937,0,,0.54
pubmedqa,random,12,19,0.56,0.4072123192841084,0.01570585519694373,0,,0.5458333333333334
pubmedqa,random,24,0,0.58,0.4173604547556109,0.005557719725441224,1,6,0.5566666666666668
pubmedqa,random,24,1,0.59,0.4186515370233227,0.0042666374577294275,1,15,0.5583333333333333
pubmedqa,random,24,2,0.58,0.41741005714532636,0.00550811733572576,1,4,0.5741666666666667
pubmedqa,random,24,3,0.59,0.42286857209133666,4.9602389715464046e-05,1,11,0.5549999999999999
pubmedqa,random,24,4,0.58,0.41741005714532636,0.00550811733572576,1,23,0.5600000000000003
pubmedqa,random,24,5,0.59,0.42291210881214397,6.065668908150634e-06,1,13,0.5666666666666665
pubmedqa,random,24,6,0.58,0.41741005714532636,0.00550811733572576,1,20,0.5641666666666669
pubmedqa,random,24,7,0.59,0.4229181744810521,0.0,1,10,0.5620833333333333
pubmedqa,random,24,8,0.58,0.41741005714532636,0.00550811733572576,1,15,0.5566666666666668
pubmedqa,random,24,9,0.56,0.4072123192841084,0.01570585519694373,0,,0.5420833333333334
pubmedqa,random,24,10,0.56,0.40716271689439293,0.015755457586659194,0,,0.5600000000000004
pubmedqa,random,24,11,0.56,0.4072123192841084,0.01570585519694373,0,,0.554166666666667
pubmedqa,random,24,12,0.59,0.4229181744810521,0.0,1,17,0.5616666666666668
pubmedqa,random,24,13,0.58,0.4174039914764182,0.00551418300463391,1,6,0.5716666666666667
pubmedqa,random,24,14,0.59,0.4229181744810521,0.0,1,2,0.5858333333333332
pubmedqa,random,24,15,0.58,0.41741005714532636,0.00550811733572576,1,4,0.5750000000000001
pubmedqa,random,24,16,0.56,0.4072123192841084,0.01570585519694373,0,,0.5466666666666669
pubmedqa,random,24,17,0.59,0.41863639302994965,0.004281781451102473,1,13,0.5591666666666667
pubmedqa,random,24,18,0.56,0.4072123192841084,0.01570585519694373,0,,0.5462500000000002
pubmedqa,random,24,19,0.59,0.4229181744810521,0.0,1,23,0.5554166666666669
pubmedqa,random,36,0,0.59,0.4229181744810521,0.0,1,6,0.5666666666666668
pubmedqa,random,36,1,0.59,0.4229181744810521,0.0,1,15,0.5688888888888889
pubmedqa,random,36,2,0.59,0.4229181744810521,0.0,1,4,0.5772222222222221
pubmedqa,random,36,3,0.59,0.4229181744810521,0.0,1,11,0.5666666666666667
pubmedqa,random,36,4,0.58,0.41741005714532636,0.00550811733572576,1,23,0.5666666666666665
pubmedqa,random,36,5,0.59,0.42291210881214397,6.065668908150634e-06,1,13,0.5744444444444443
pubmedqa,random,36,6,0.58,0.41741005714532636,0.00550811733572576,1,20,0.5694444444444442
pubmedqa,random,36,7,0.59,0.4229181744810521,0.0,1,10,0.5713888888888888
pubmedqa,random,36,8,0.59,0.4229181744810521,0.0,1,15,0.5663888888888889
pubmedqa,random,36,9,0.59,0.4229181744810521,0.0,1,27,0.5563888888888889
pubmedqa,random,36,10,0.59,0.4229181744810521,0.0,1,34,0.5622222222222223
pubmedqa,random,36,11,0.59,0.4229181744810521,0.0,1,26,0.5630555555555555
pubmedqa,random,36,12,0.59,0.4229181744810521,0.0,1,17,0.5711111111111111
pubmedqa,random,36,13,0.59,0.4229181744810521,0.0,1,6,0.5755555555555554
pubmedqa,random,36,14,0.59,0.4229181744810521,0.0,1,2,0.5872222222222221
pubmedqa,random,36,15,0.58,0.41741005714532636,0.00550811733572576,1,4,0.5766666666666663
pubmedqa,random,36,16,0.56,0.4072123192841084,0.01570585519694373,0,,0.5511111111111111
